序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,資工所,111C53201,黃中文,7VGygLtLH3,7,2,0,5,4,1,3,3,6,0
2,資工系,111C53596,趙中佳,CSfWjGF7j8,6,3,1,1,10,6,7,10,6,8
3,創新AI,111590140,吳芳俊,SB647h2nmd,7,8,10,9,1,2,6,10,6,10
4,資工系,111C71428,張明寶,iu1egufvcS,2,2,6,5,1,10,10,0,7,8
5,電資資安,111C53728,王志文,rQT8RGrGQX,3,1,7,6,4,10,5,0,9,7
6,電資AI,111590801,吳美寶,o6WcCFoxOR,3,7,10,0,6,1,9,7,8,8
7,資工系,111598151,劉中俊,DThQXCrACy,3,9,8,8,4,6,7,5,10,10
8,資工系,111590407,張美偉,vbz4lSGDTK,3,1,5,1,2,2,1,7,7,7
9,資工所,111C71618,趙琪麗,AH6mDbzAZz,0,2,1,8,7,4,0,3,4,8
10,電資AI,111598868,林中俊,Wy1ic7uWVO,7,6,1,0,4,1,0,1,10,5
11,創新AI,111C53542,吳明俊,SrnTFG7x1Q,0,7,7,1,8,4,5,4,3,4
12,電資AI,111590330,楊大瑞,64F7HL0HcM,5,2,0,2,7,7,4,10,10,4
13,資工所,111598507,劉大寶,dkU7aYpONV,10,4,0,0,2,9,9,4,10,9
14,電資AI,111C52815,吳志文,9c0Klg5P62,1,6,9,2,5,2,3,5,3,3
15,電資AI,111C52667,陳琪俊,BSxzR0Z3wM,6,9,0,7,5,9,1,2,3,8
16,資工系,111598401,張大俊,OMoz37pMzs,0,1,4,1,1,7,8,1,4,10
17,電資資安,111C53356,張大偉,98wjRc7AVT,4,10,2,2,8,10,0,10,5,8
18,資工所,111598664,林志瑞,95EGVofVRu,1,5,4,10,1,5,5,2,0,2
19,創新AI,111C52738,劉明思,5TUbh2Pem1,0,6,9,7,9,9,7,6,4,4
20,創新AI,111598132,張國青,X2hV7NvCqu,2,1,8,9,10,0,9,6,6,0
21,電資AI,111C52944,張琪思,eKGHOtcwoQ,6,0,7,10,7,4,5,8,1,1
22,資工系,111C53782,楊明瑞,TiA2teL456,4,8,0,0,0,9,6,4,3,6
23,資工系,111C52709,楊大麗,jOFNf1tIR6,5,9,3,3,3,9,5,4,2,5
24,資工系,111590389,陳國麗,DuCkWnEd5J,10,10,0,0,1,7,10,1,2,2
25,創新AI,111C71125,陳國偉,e2UMs4rXmR,7,3,1,7,2,2,3,0,9,4
26,資工系,111590904,林國麗,kNsmWD319v,1,6,5,9,10,0,5,1,5,5
27,資工系,111C52853,張國思,wmi0ESMBRh,7,1,5,9,6,8,4,4,4,4
28,資工所,111598342,林大青,H59PncHyK2,6,3,3,3,0,0,2,0,6,7
29,電資資安,111C71337,林中瑞,LT0SRYkjYH,4,5,6,6,6,1,5,10,10,4
30,資工所,111C52198,李志文,0DcWRCPin6,3,9,3,1,2,10,5,9,1,0
31,資工所,111C53650,趙琪文,z1us1EIBIK,6,10,10,4,6,3,5,0,0,7
32,電資資安,111C71218,楊志文,LK57qdin4h,10,4,5,9,4,0,1,5,5,6
33,電資AI,111598977,陳國偉,EHouCmPf9K,6,0,3,10,8,4,0,4,3,10
34,資工所,111C71313,楊大瑞,CKLaB197xh,4,7,3,5,1,8,7,9,3,0
35,資工所,111590499,黃國寶,ztG4JbSbMc,3,7,9,7,4,4,7,7,6,6
36,創新AI,111C53993,李國寶,nBbluSgt8w,8,5,9,1,7,3,1,8,5,6
37,電資AI,111C53055,王中佳,uOr0L2CW1j,0,6,4,3,5,0,10,6,9,0
38,資工所,111C53511,王婷寶,mmLCyFLdRg,0,7,4,4,10,3,5,0,1,8
39,資工系,111C52507,張小美,vyoK46OCmE,4,3,10,7,0,4,0,2,2,1
40,電資資安,111C52369,劉美美,71F1oSsZSs,1,5,3,6,1,2,4,9,8,0
41,電資AI,111590656,黃美佳,vUbEXAkKgO,9,5,8,8,1,5,3,2,8,10
42,資工系,111C52046,趙琪文,UedrFQ1Rio,7,3,8,10,8,2,8,0,0,0
43,電資AI,111C52161,劉芳青,23E9ABNv1b,10,3,6,1,3,2,0,5,10,5
44,電資AI,111C53655,吳美佳,V274e2oH7E,10,7,7,0,7,4,7,6,0,8
45,資工系,111C71828,吳明瑞,c5cNcr1SFW,10,7,3,2,6,3,4,8,6,1
46,電資AI,111C53487,陳芳麗,ukbxvXG7sl,7,10,1,7,10,1,6,8,6,5
47,電資AI,111C53922,黃明文,Bxh8irFUYq,6,3,2,4,7,4,10,0,9,3
48,資工所,111598182,張琪美,HUuhP8ecc3,3,3,2,4,2,6,1,4,7,1
49,資工所,111C71098,張婷瑞,z6CoPJ4pHI,2,3,8,5,10,5,4,4,8,2
50,電資AI,111C71453,吳國青,uXHwhxBWqZ,1,1,7,2,8,3,8,9,6,1
51,電資AI,111C71159,林國麗,gCyLwtdfce,4,3,9,8,5,3,5,8,5,1
52,電資資安,111C71299,李國思,w9m9dIvhG8,10,5,9,9,7,1,0,8,2,1
53,資工系,111C53117,趙國俊,BPQ3J6veK4,7,0,9,2,8,8,1,6,5,2
54,電資AI,111C52667,黃明美,tpHSRP6evd,7,1,2,8,1,2,2,6,5,5
55,資工系,111C71666,楊美偉,f7J3TyE1Fo,3,2,1,2,3,10,0,10,10,0
56,電資資安,111C53107,陳大思,9gYdgEbSn6,8,5,3,3,9,9,0,2,7,8
57,資工所,111C53982,王大俊,OTwYsw4EgK,9,3,4,10,4,1,7,3,4,1
58,創新AI,111C53944,趙國佳,nO1tVFGRG7,9,9,5,4,5,5,8,8,1,4
59,資工所,111590635,林琪美,RXeQs6bEFt,5,3,4,9,9,6,4,8,4,7
60,創新AI,111C53733,劉琪俊,A9T6ySbAa5,8,2,4,3,2,10,7,5,2,5
61,電資AI,111C52110,劉小文,ApVXoPmfrQ,8,9,0,3,9,10,2,0,7,3
62,電資AI,111C53905,張志寶,WF3ivvUmGF,5,10,0,7,10,0,3,3,6,3
63,創新AI,111C53654,李婷青,kzrBA1BQYA,8,7,3,9,4,2,9,9,5,3
64,電資AI,111C52536,劉婷俊,CQbtYg4I8R,10,4,6,1,4,5,8,7,8,0
65,創新AI,111C52784,李中俊,H9sJCZ551m,3,10,9,9,0,9,10,5,0,8
66,資工所,111590190,黃琪佳,SuwQYp066v,6,1,5,3,8,6,4,2,2,0
67,資工系,111590680,劉芳瑞,hFxzi6Yzgc,8,3,6,3,9,2,3,2,2,4
68,電資AI,111590339,陳中思,SQCGKQHrVL,10,5,6,2,8,5,2,3,9,0
69,資工系,111598033,張國佳,EfgUNDQ7Lr,6,0,4,2,2,5,1,0,4,9
70,資工所,111590569,張大美,Bj911woPHG,3,10,10,4,8,9,8,1,7,1
71,創新AI,111598218,趙國寶,G9PpqXcCay,6,0,8,0,3,6,5,10,3,10
72,資工系,111C53441,劉婷俊,VwfzQbN08s,1,3,10,1,4,0,4,1,0,0
73,資工所,111598422,劉志文,H9zEGXpyE1,8,10,6,10,5,5,6,0,1,3
74,創新AI,111C53535,楊明文,R8QF1wgAkE,2,7,8,10,0,1,8,7,7,6
75,電資資安,111C52449,趙婷文,SgLl89zpuV,9,2,8,0,7,1,4,5,8,9
76,創新AI,111598832,張美偉,C5FG2rlTb4,7,5,10,4,7,4,6,0,6,5
77,電資AI,111C71682,楊志瑞,XOYsdCGTge,10,4,4,7,3,7,8,7,4,4
78,創新AI,111590737,吳婷思,fuxoPZ1b9A,8,2,1,8,10,10,10,6,3,9
79,電資資安,111598697,張大佳,ySTgn1PaUJ,5,3,5,6,9,10,8,7,8,6
80,電資資安,111590236,趙芳美,lOWz0P9sto,2,7,5,1,3,5,2,9,10,2
81,創新AI,111C53010,陳大美,68XCHFgUah,3,10,2,4,2,2,8,4,9,3
82,資工系,111590325,黃小寶,cJOWCN85TD,3,3,1,9,4,1,8,2,4,7
83,電資AI,111590023,劉明寶,gzibvnFY9I,4,5,8,8,7,6,2,2,7,5
84,資工所,111590960,林芳寶,TMyCNK7O1Q,5,1,7,3,10,6,3,10,10,7
85,資工所,111590106,趙婷麗,BIOsas5WhX,10,5,6,0,4,2,9,0,10,4
86,資工所,111C53506,劉琪美,0hHvJr5F4V,0,8,5,8,2,1,10,5,0,7
87,資工系,111C71749,黃婷文,RixrTPCUY6,1,2,3,5,4,10,9,8,5,8
88,資工系,111C53705,楊婷寶,rNKJBjVZ0z,1,7,1,10,8,10,6,6,7,0
89,電資AI,111C53293,王婷麗,ZMcKQxdm10,7,1,8,0,8,0,1,0,5,3
90,資工系,111C71266,黃美青,iWeTj49Sy1,2,0,7,9,5,5,3,9,4,10
91,電資資安,111C52067,王中青,tQAnBjeZ78,5,5,8,3,3,0,4,7,10,1
92,電資AI,111C71134,趙明偉,FsbIS46cwp,7,0,1,4,6,8,5,4,7,6
93,電資AI,111C53404,林志思,I4y7v6NRtd,0,7,3,3,5,3,4,5,9,1
94,創新AI,111C71309,陳芳麗,DFd11GozVL,9,9,7,9,1,6,3,4,1,5
95,電資AI,111C71329,劉婷瑞,2SXUCz3nXv,3,9,4,8,7,10,0,3,9,10
96,資工系,111C53344,張美俊,kEmgmmBoXk,4,7,1,5,1,8,0,0,4,6
97,創新AI,111598509,王中麗,YZHhL4ApVq,8,1,7,2,9,1,4,0,1,0
98,電資AI,111590661,李明寶,8JwqcKJqI7,7,2,9,9,7,3,3,2,2,6
99,電資資安,111590984,黃大瑞,7HBhYbTtBh,6,0,6,8,5,10,6,3,5,5
100,資工系,111C71178,趙志佳,Szmj8TqTqn,9,5,4,4,7,3,2,4,6,6
101,資工系,111C53808,楊大思,OBEPKIbOQQ,9,8,0,9,2,7,4,7,5,10
102,資工所,111C71280,楊中偉,NlmHLM2nPz,4,0,0,5,5,2,0,9,6,5
103,電資AI,111C52825,黃中麗,7aF2itwnHU,10,8,9,7,2,1,10,5,2,0
104,電資AI,111C71194,黃志思,aWSUEoNM3Q,1,3,8,4,5,8,3,1,8,7
105,資工所,111C53903,吳明佳,i0AbcJyudY,10,5,4,0,0,7,2,4,1,1
106,創新AI,111C53626,張婷俊,0oVeZNXMes,3,2,7,0,4,4,1,6,10,9
107,創新AI,111598696,黃琪青,bRTnnk6rsT,10,2,7,3,0,8,9,1,1,7
108,電資AI,111C52338,王琪青,1Km6YiUYYv,6,9,1,6,7,2,7,1,8,3
109,電資AI,111598480,劉美美,oRqwcyLfFJ,7,5,6,3,3,7,2,7,1,6
110,資工系,111C71521,林志寶,td1KI9EyGf,2,0,8,6,5,7,6,3,1,1
111,電資AI,111590686,趙明美,n5yEEMn9y7,0,0,9,2,9,3,2,8,4,3
112,創新AI,111C53849,劉中寶,1PAUJuCZj7,3,10,7,5,1,9,5,6,6,9
113,資工所,111590202,劉國美,Ltoum4ZLiS,3,4,10,4,8,9,3,5,1,5
114,資工所,111C71581,吳大佳,QXe8zuq6wm,1,2,6,1,10,4,2,0,7,4
115,創新AI,111590273,陳志俊,ppczU0XJ14,1,0,4,1,5,7,5,9,6,8
116,創新AI,111C71369,陳小麗,R8vx8xZ3Eo,2,7,6,9,3,5,5,0,6,10
117,創新AI,111598694,黃明俊,6HRjXcWz1o,4,10,10,0,4,6,8,7,3,9
118,創新AI,111590890,林琪青,sn2klA9qGe,7,7,7,6,0,5,8,10,1,7
119,資工系,111C52888,王國偉,2ReECqeqBK,6,6,4,5,1,0,4,9,7,1
120,電資AI,111C71886,吳琪偉,xv5jbOB8Z9,6,2,2,10,7,8,7,6,7,8
